FIPS,State,County,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1018,PctEmpChange1718,PctEmpChange0718,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumUnemployed2010,NumUnemployed2011,NumCivLaborForce2011,UnempRate2011,NumEmployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,NumCivLaborForce2012,NumEmployed2008,NumCivLaborForce2008,UnempRate2009,NumUnemployed2008,NumUnemployed2014,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2007,NumUnemployed2015,UnempRate2012,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumCivLaborforce2007,NumUnemployed2012,NumEmployed2012,NumEmployed2015
36019,NY,Clinton,4.4,5.3,5.4,5.0,6.6,9.8,5.6,-2.73,1.89,-7.26,-4.65,2.1778282669999998,0.08589399,4.78789726,12.25790363,15.08409299,4.901498988999999,1.856418498,2.7624615560000003,46.52960572,9.556399102,36091.0,3892.0,3684.0,38413.0,9.6,34729.0,35809.0,39701.0,3703.0,36084.0,39787.0,6.5,37998.0,37370.0,39988.0,9.3,2618.0,2380.0,1597.0,34831.0,36428.0,1898.0,34186.0,36084.0,1916.0,33845.0,35761.0,35909.0,37556.0,2090.0,9.4,33595.0,35975.0,8.3,3091.0,34085.0,37176.0,2228.0,39784.0,3574.0,34424.0,33819.0
36021,NY,Columbia,3.3,3.8,3.7,4.0,4.7,7.3,3.9,1.99,1.67,-0.48,-2.43,4.117491049,0.3580427,8.135525792000001,5.632542103,11.62975733,3.5804269989999997,1.9990717409999998,4.518631481,51.77363745,8.254873359,30164.0,2348.0,2236.0,31452.0,7.1,29216.0,29789.0,32137.0,2311.0,29121.0,31432.0,4.8,31681.0,30342.0,31881.0,7.4,1539.0,1478.0,1043.0,30383.0,31426.0,1175.0,29885.0,31060.0,1158.0,30272.0,31430.0,31399.0,30530.0,1250.0,7.0,29840.0,31318.0,6.0,1911.0,29936.0,31847.0,1235.0,31765.0,2230.0,29451.0,30149.0
36023,NY,Cortland,5.1,5.8,5.7,5.0,6.5,8.9,5.2,-2.43,0.77,-3.31,-0.91,2.461754154,0.061853119000000005,5.69048699,11.7520927,12.63040699,3.1751267989999996,1.096861985,3.4720217719999997,55.44925982,4.210135665,24251.0,2171.0,2057.0,24341.0,8.5,22284.0,22304.0,24475.0,2216.0,22088.0,24304.0,6.4,24476.0,22623.0,24168.0,9.1,1545.0,1540.0,1165.0,21762.0,22927.0,1321.0,21596.0,22917.0,1308.0,21652.0,22960.0,23264.0,22508.0,1369.0,8.6,22116.0,23656.0,7.7,1882.0,22426.0,24308.0,1229.0,23737.0,2111.0,22365.0,21895.0
36025,NY,Delaware,4.8,5.5,5.5,6.0,6.6,8.8,4.3,-10.5,2.39,-17.23,-7.52,3.207992369,0.502033235,8.609869973,13.88623927,13.04784377,3.8104322510000004,1.676791004,3.514232642,46.63888749,5.105677996,19919.0,1966.0,1884.0,21717.0,8.7,19833.0,20465.0,22431.0,1902.0,20363.0,22265.0,6.0,21589.0,21549.0,22917.0,8.5,1368.0,1316.0,928.0,18316.0,19244.0,1045.0,17889.0,18934.0,1059.0,18142.0,19201.0,19491.0,22128.0,1168.0,8.7,18710.0,20026.0,7.9,1656.0,19394.0,21050.0,1001.0,23129.0,1887.0,19702.0,18323.0
36027,NY,Dutchess,3.7,4.3,4.2,4.0,5.3,7.7,3.9,0.69,1.2,-0.86,-1.54,0.943187934,0.114534892,6.78722729,6.982488581,13.56065519,4.966398498999999,2.33968565,6.157285385,53.10900134,5.039535237,144934.0,11517.0,10984.0,146309.0,7.5,135325.0,137679.0,149196.0,11098.0,133744.0,144842.0,5.1,146383.0,139178.0,146689.0,7.7,7511.0,7569.0,5305.0,138629.0,143934.0,6107.0,136986.0,143093.0,5941.0,136948.0,142889.0,143199.0,139838.0,6426.0,7.8,134639.0,142208.0,6.7,9707.0,135882.0,145589.0,5677.0,145515.0,11395.0,134988.0,136773.0
36029,NY,Erie,4.4,5.1,4.9,5.0,6.1,8.3,4.7,-0.72,0.77,-4.42,-3.73,0.32315474,0.120207319,4.502533497,10.37931096,14.13160806,4.470864778999999,1.59436386,8.396447751,51.57942158,4.502087459,448392.0,38713.0,36646.0,458769.0,8.0,422123.0,426962.0,465675.0,38142.0,432512.0,470654.0,5.7,461760.0,446521.0,473549.0,8.1,27028.0,27379.0,19574.0,423872.0,443446.0,22823.0,420652.0,443475.0,21887.0,422760.0,444647.0,448519.0,443492.0,23900.0,8.3,420978.0,448357.0,7.4,34122.0,426138.0,460260.0,21839.0,465331.0,38357.0,423403.0,424619.0
36031,NY,Essex,4.9,5.5,5.3,6.0,6.9,9.2,5.7,-4.56,0.26,-7.21,-2.77,2.359781122,0.797993616,8.213634291,8.749430005,12.79069767,3.2204742360000003,1.715686275,3.881668947,52.00068399,6.26994984,17544.0,1715.0,1655.0,18201.0,9.1,16546.0,17021.0,18736.0,1671.0,16672.0,18343.0,6.7,18176.0,17375.0,18617.0,9.1,1242.0,1209.0,834.0,16244.0,17078.0,936.0,16202.0,17138.0,920.0,16300.0,17220.0,17305.0,17506.0,1041.0,9.6,16336.0,17545.0,8.3,1498.0,16615.0,18113.0,1051.0,18557.0,1739.0,16437.0,16264.0
36033,NY,Franklin,5.2,6.0,5.7,6.0,7.3,9.0,5.5,-7.98,0.58,-12.84,-5.29,2.950901804,0.105210421,6.578156312999999,5.01002004,11.87875752,2.820641283,1.24248497,3.166332665,53.43186373,12.81563126,19960.0,1996.0,1981.0,21725.0,9.1,19744.0,20249.0,22245.0,1958.0,21074.0,23032.0,6.9,21796.0,21464.0,23056.0,8.5,1592.0,1489.0,1014.0,18633.0,19647.0,1191.0,18526.0,19717.0,1121.0,18649.0,19770.0,19965.0,21379.0,1299.0,9.6,19019.0,20508.0,8.8,1904.0,19640.0,21544.0,1255.0,22634.0,2084.0,19712.0,18666.0
36035,NY,Fulton,5.1,5.8,5.7,6.0,7.7,10.6,5.4,-6.97,-0.37,-16.09,-9.81,0.9158793679999999,0.012376748,6.353397417,12.34374355,17.14592186,5.652048352,1.534716779,2.904410248,46.81711292,6.320392755,24239.0,2768.0,2698.0,25552.0,10.6,22854.0,23337.0,26105.0,2617.0,24629.0,27246.0,6.7,25392.0,25807.0,27664.0,9.6,1857.0,1798.0,1166.0,21711.0,22877.0,1331.0,21792.0,23123.0,1326.0,21870.0,23196.0,23440.0,25875.0,1508.0,11.0,21632.0,23430.0,9.5,2343.0,22393.0,24736.0,1470.0,27345.0,2797.0,22595.0,21932.0
36037,NY,Genesee,4.2,4.8,4.6,4.0,5.5,8.0,4.5,-2.19,1.68,-9.0,-6.97,3.4370108210000003,0.401551759,6.261485061,15.3950861,14.48989315,3.304294562,1.252297012,4.13802491,45.78030355,5.540053087,29386.0,2541.0,2406.0,30922.0,7.8,28516.0,29189.0,31730.0,2525.0,30576.0,33101.0,5.6,30885.0,31658.0,33542.0,7.6,1884.0,1664.0,1245.0,28551.0,29796.0,1407.0,28079.0,29486.0,1361.0,28336.0,29697.0,30090.0,31375.0,1489.0,7.9,28353.0,30017.0,6.8,2087.0,28447.0,30534.0,1493.0,32868.0,2442.0,28443.0,28601.0
