FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36057,Montgomery,NY,4,  Government and government enterprises,202823,225306,247555,234276
36059,Nassau,NY,1,All Industries,82095547,84618438,88771946,90762322
36059,Nassau,NY,2,  Private goods-producing industries,5715399,6124991,6239573,6543157
36059,Nassau,NY,3,  Private services-providing industries,66582157,68320271,72120310,73769838
36059,Nassau,NY,4,  Government and government enterprises,9797992,10173176,10412064,10449327
36061,New York,NY,1,All Industries,610107941,619538778,657009064,690040650
36061,New York,NY,2,  Private goods-producing industries,7877198,8217717,8988338,10101652
36061,New York,NY,3,  Private services-providing industries,574476082,581904074,617415093,648976531
36061,New York,NY,4,  Government and government enterprises,27754660,29416987,30605633,30962467
36063,Niagara,NY,1,All Industries,7869966,8313001,8831190,9012471
36063,Niagara,NY,2,  Private goods-producing industries,1414647,1393794,1480388,1493947
36063,Niagara,NY,3,  Private services-providing industries,5268764,5689747,6111724,6288318
36063,Niagara,NY,4,  Government and government enterprises,1186555,1229461,1239078,1230206
36065,Oneida,NY,1,All Industries,9048352,8974632,9277595,9309566
36065,Oneida,NY,2,  Private goods-producing industries,1230548,1224499,1284997,1205032
36065,Oneida,NY,3,  Private services-providing industries,5590038,5416842,5763624,5900640
36065,Oneida,NY,4,  Government and government enterprises,2227766,2333291,2228973,2203894
36067,Onondaga,NY,1,All Industries,24928018,25489265,26998897,28411051
36067,Onondaga,NY,2,  Private goods-producing industries,3754517,3928324,3896223,4030052
36067,Onondaga,NY,3,  Private services-providing industries,17528144,17672783,19275046,20500723
36067,Onondaga,NY,4,  Government and government enterprises,3645357,3888158,3827629,3880276
36069,Ontario,NY,1,All Industries,4550094,5005392,5217795,5804659
36069,Ontario,NY,2,  Private goods-producing industries,1156729,1221309,1256280,1268916
36069,Ontario,NY,3,  Private services-providing industries,2709195,3050834,3183274,3759531
36069,Ontario,NY,4,  Government and government enterprises,684171,733249,778241,776212
36071,Orange,NY,1,All Industries,13046394,13463826,13972436,14559612
36071,Orange,NY,2,  Private goods-producing industries,1368242,1423827,1525048,1582641
36071,Orange,NY,3,  Private services-providing industries,8239655,8580173,8842229,9334270
36071,Orange,NY,4,  Government and government enterprises,3438497,3459826,3605159,3642701
36073,Orleans,NY,1,All Industries,1065230,1100761,1159228,1143840
36073,Orleans,NY,2,  Private goods-producing industries,354338,396453,414415,401462
36073,Orleans,NY,3,  Private services-providing industries,358890,340241,377167,391358
36073,Orleans,NY,4,  Government and government enterprises,352002,364067,367647,351021
36075,Oswego,NY,1,All Industries,5654148,6410790,6640917,6848655
36075,Oswego,NY,2,  Private goods-producing industries,542541,564873,584033,553492
36075,Oswego,NY,3,  Private services-providing industries,4478714,5153696,5334701,5589844
36075,Oswego,NY,4,  Government and government enterprises,632892,692221,722183,705319
36077,Otsego,NY,1,All Industries,1929070,1951400,1992596,2067642
36077,Otsego,NY,2,  Private goods-producing industries,236473,244465,230537,226233
36077,Otsego,NY,3,  Private services-providing industries,1334291,1322747,1376026,1468630
36077,Otsego,NY,4,  Government and government enterprises,358306,384188,386033,372779
36079,Putnam,NY,1,All Industries,2611112,2716403,2827087,2929313
36079,Putnam,NY,2,  Private goods-producing industries,,381496,,405289
36079,Putnam,NY,3,  Private services-providing industries,,1795402,,1970788
36079,Putnam,NY,4,  Government and government enterprises,506739,539505,557514,553236
36081,Queens,NY,1,All Industries,70002804,72459247,77202197,80822563
36081,Queens,NY,2,  Private goods-producing industries,7424852,7869967,8448242,9274492
36081,Queens,NY,3,  Private services-providing industries,52243930,53634569,57423874,60020963
36081,Queens,NY,4,  Government and government enterprises,10334022,10954711,11330081,11527108
36083,Rensselaer,NY,1,All Industries,5069113,5166142,5503878,5788645
36083,Rensselaer,NY,2,  Private goods-producing industries,705255,749989,775660,859899
36083,Rensselaer,NY,3,  Private services-providing industries,3470397,3464201,3652040,3860792
36083,Rensselaer,NY,4,  Government and government enterprises,893461,951951,1076178,1067954
36085,Richmond,NY,1,All Industries,10682962,11578082,12560658,12258530
36085,Richmond,NY,2,  Private goods-producing industries,772868,943313,1000233,1147359
36085,Richmond,NY,3,  Private services-providing industries,8017938,8630060,9539393,9079034
36085,Richmond,NY,4,  Government and government enterprises,1892157,2004709,2021032,2032137
36087,Rockland,NY,1,All Industries,18159993,17752242,19103925,20909765
36087,Rockland,NY,2,  Private goods-producing industries,6081035,4902023,6025572,7296248
36087,Rockland,NY,3,  Private services-providing industries,9969515,10520208,10927360,11486818
36087,Rockland,NY,4,  Government and government enterprises,2109443,2330011,2150994,2126699
36089,St. Lawrence,NY,1,All Industries,2839578,2958512,3028229,3040868
36089,St. Lawrence,NY,2,  Private goods-producing industries,520576,548943,548999,469069
36089,St. Lawrence,NY,3,  Private services-providing industries,1473712,1513217,1548933,1625759
36089,St. Lawrence,NY,4,  Government and government enterprises,845290,896352,930297,946041
36091,Saratoga,NY,1,All Industries,8427267,8918705,9318420,9737340
36091,Saratoga,NY,2,  Private goods-producing industries,1357283,1507434,1548390,1743508
36091,Saratoga,NY,3,  Private services-providing industries,5857107,6134484,6480583,6719886
36091,Saratoga,NY,4,  Government and government enterprises,1212877,1276788,1289447,1273945
36093,Schenectady,NY,1,All Industries,7044969,7243225,7458987,7816128
36093,Schenectady,NY,2,  Private goods-producing industries,1574918,1534018,1525809,1598372
36093,Schenectady,NY,3,  Private services-providing industries,4532067,4685219,5001088,5279684
36093,Schenectady,NY,4,  Government and government enterprises,937985,1023988,932089,938072
36095,Schoharie,NY,1,All Industries,667832,684832,698179,695594
36095,Schoharie,NY,2,  Private goods-producing industries,94844,99959,,96126
36095,Schoharie,NY,3,  Private services-providing industries,393651,394503,,399923
36095,Schoharie,NY,4,  Government and government enterprises,179337,190369,197957,199545
36097,Schuyler,NY,1,All Industries,410499,420056,419768,407051
36097,Schuyler,NY,2,  Private goods-producing industries,141485,142310,144530,138147
36097,Schuyler,NY,3,  Private services-providing industries,181366,187714,188039,186633
36097,Schuyler,NY,4,  Government and government enterprises,87648,90032,87200,82271
36099,Seneca,NY,1,All Industries,1095288,1133682,1169626,1161703
36099,Seneca,NY,2,  Private goods-producing industries,343915,,409241,395989
36099,Seneca,NY,3,  Private services-providing industries,480455,,486222,492601
36099,Seneca,NY,4,  Government and government enterprises,270918,260966,274163,273113
36101,Steuben,NY,1,All Industries,3576382,4126756,4569173,4814551
36101,Steuben,NY,2,  Private goods-producing industries,614611,1034257,1385243,1554646
36101,Steuben,NY,3,  Private services-providing industries,2326758,2430112,2505535,2594598
36101,Steuben,NY,4,  Government and government enterprises,635013,662387,678395,665307
36103,Suffolk,NY,1,All Industries,76859133,79602809,82333702,84761638
36103,Suffolk,NY,2,  Private goods-producing industries,12028740,12093628,12501554,13267136
36103,Suffolk,NY,3,  Private services-providing industries,52994352,55054248,57335825,58858619
36103,Suffolk,NY,4,  Government and government enterprises,11836041,12454933,12496323,12635883
36105,Sullivan,NY,1,All Industries,2121811,2293972,2327549,2293116
36105,Sullivan,NY,2,  Private goods-producing industries,227249,227544,233137,254919
36105,Sullivan,NY,3,  Private services-providing industries,1359562,1503127,1522320,1471840
