Week,flu,metro,Week Ending Date,fluSymptoms,fever,cough,soreThroat,year,County
2015-04-12,0.0034648100048100053,Binghamton,04/18/2015,0.0,0.3097721653356242,0.3280972386780737,0.4910439820331091,2015,TIOGA
2015-04-12,0.0034648100048100053,Binghamton,04/18/2015,0.0,0.3097721653356242,0.3280972386780737,0.4910439820331091,2015,BROOME
2015-04-12,0.0034648100048100053,Binghamton,04/18/2015,0.0,0.3097721653356242,0.3280972386780737,0.4910439820331091,2015,CHENANGO
2015-04-12,0.0034648100048100053,Binghamton,04/18/2015,0.0,0.3097721653356242,0.3280972386780737,0.4910439820331091,2015,DELAWARE
2015-04-19,0.005052847923681257,Binghamton,04/25/2015,0.00718857142857143,0.4868699007658714,0.1068659577408583,0.42891295187687306,2015,TIOGA
2015-04-19,0.005052847923681257,Binghamton,04/25/2015,0.00718857142857143,0.4868699007658714,0.1068659577408583,0.42891295187687306,2015,BROOME
2015-04-19,0.005052847923681257,Binghamton,04/25/2015,0.00718857142857143,0.4868699007658714,0.1068659577408583,0.42891295187687306,2015,CHENANGO
2015-04-19,0.005052847923681257,Binghamton,04/25/2015,0.00718857142857143,0.4868699007658714,0.1068659577408583,0.42891295187687306,2015,DELAWARE
2015-04-26,0.0028873416706750045,Binghamton,05/02/2015,0.013038095238095241,0.2751148411861945,0.1068659577408583,0.2547894345902788,2015,TIOGA
2015-04-26,0.0028873416706750045,Binghamton,05/02/2015,0.013038095238095241,0.2751148411861945,0.1068659577408583,0.2547894345902788,2015,BROOME
2015-04-26,0.0028873416706750045,Binghamton,05/02/2015,0.013038095238095241,0.2751148411861945,0.1068659577408583,0.2547894345902788,2015,CHENANGO
2015-04-26,0.0028873416706750045,Binghamton,05/02/2015,0.013038095238095241,0.2751148411861945,0.1068659577408583,0.2547894345902788,2015,DELAWARE
2015-05-03,0.0014436708353375025,Binghamton,05/09/2015,0.0,0.4955640061366906,0.11516882663801775,0.2670590077723927,2015,TIOGA
2015-05-03,0.0014436708353375025,Binghamton,05/09/2015,0.0,0.4955640061366906,0.11516882663801775,0.2670590077723927,2015,BROOME
2015-05-03,0.0014436708353375025,Binghamton,05/09/2015,0.0,0.4955640061366906,0.11516882663801775,0.2670590077723927,2015,CHENANGO
2015-05-03,0.0014436708353375025,Binghamton,05/09/2015,0.0,0.4955640061366906,0.11516882663801775,0.2670590077723927,2015,DELAWARE
2015-05-10,0.002598607503607504,Binghamton,05/16/2015,0.0,0.2291432703213153,0.2415867014592837,0.5422107127500094,2015,TIOGA
2015-05-10,0.002598607503607504,Binghamton,05/16/2015,0.0,0.2291432703213153,0.2415867014592837,0.5422107127500094,2015,BROOME
2015-05-10,0.002598607503607504,Binghamton,05/16/2015,0.0,0.2291432703213153,0.2415867014592837,0.5422107127500094,2015,CHENANGO
2015-05-10,0.002598607503607504,Binghamton,05/16/2015,0.0,0.2291432703213153,0.2415867014592837,0.5422107127500094,2015,DELAWARE
2015-05-17,0.0028873416706750045,Binghamton,05/23/2015,0.0,0.3408565694696488,0.0,0.3445922680934099,2015,TIOGA
2015-05-17,0.0028873416706750045,Binghamton,05/23/2015,0.0,0.3408565694696488,0.0,0.3445922680934099,2015,BROOME
2015-05-17,0.0028873416706750045,Binghamton,05/23/2015,0.0,0.3408565694696488,0.0,0.3445922680934099,2015,CHENANGO
2015-05-17,0.0028873416706750045,Binghamton,05/23/2015,0.0,0.3408565694696488,0.0,0.3445922680934099,2015,DELAWARE
2015-05-24,0.0018045885441718781,Binghamton,05/30/2015,0.007399999999999999,0.5859588825264402,0.0,0.35855869714113525,2015,TIOGA
2015-05-24,0.0018045885441718781,Binghamton,05/30/2015,0.007399999999999999,0.5859588825264402,0.0,0.35855869714113525,2015,BROOME
2015-05-24,0.0018045885441718781,Binghamton,05/30/2015,0.007399999999999999,0.5859588825264402,0.0,0.35855869714113525,2015,CHENANGO
2015-05-24,0.0018045885441718781,Binghamton,05/30/2015,0.007399999999999999,0.5859588825264402,0.0,0.35855869714113525,2015,DELAWARE
2015-05-31,0.0014436708353375025,Binghamton,06/06/2015,0.0,0.5102129781998516,0.19217123979715744,0.3025624535759561,2015,TIOGA
2015-05-31,0.0014436708353375025,Binghamton,06/06/2015,0.0,0.5102129781998516,0.19217123979715744,0.3025624535759561,2015,BROOME
2015-05-31,0.0014436708353375025,Binghamton,06/06/2015,0.0,0.5102129781998516,0.19217123979715744,0.3025624535759561,2015,CHENANGO
2015-05-31,0.0014436708353375025,Binghamton,06/06/2015,0.0,0.5102129781998516,0.19217123979715744,0.3025624535759561,2015,DELAWARE
2015-06-07,0.0028873416706750045,Binghamton,06/13/2015,0.0,0.6249037106943561,0.2643526323063337,0.558004525037624,2015,TIOGA
2015-06-07,0.0028873416706750045,Binghamton,06/13/2015,0.0,0.6249037106943561,0.2643526323063337,0.558004525037624,2015,BROOME
2015-06-07,0.0028873416706750045,Binghamton,06/13/2015,0.0,0.6249037106943561,0.2643526323063337,0.558004525037624,2015,CHENANGO
2015-06-07,0.0028873416706750045,Binghamton,06/13/2015,0.0,0.6249037106943561,0.2643526323063337,0.558004525037624,2015,DELAWARE
2015-06-14,0.0,Binghamton,06/20/2015,0.0,0.14589423396237589,0.120123764528258,0.0,2015,TIOGA
2015-06-14,0.0,Binghamton,06/20/2015,0.0,0.14589423396237589,0.120123764528258,0.0,2015,BROOME
2015-06-14,0.0,Binghamton,06/20/2015,0.0,0.14589423396237589,0.120123764528258,0.0,2015,CHENANGO
2015-06-14,0.0,Binghamton,06/20/2015,0.0,0.14589423396237589,0.120123764528258,0.0,2015,DELAWARE
2015-06-21,0.0,Binghamton,06/27/2015,0.0,0.5648786544355501,0.2828332114645272,0.2466967373850548,2015,TIOGA
2015-06-21,0.0,Binghamton,06/27/2015,0.0,0.5648786544355501,0.2828332114645272,0.2466967373850548,2015,BROOME
2015-06-21,0.0,Binghamton,06/27/2015,0.0,0.5648786544355501,0.2828332114645272,0.2466967373850548,2015,CHENANGO
2015-06-21,0.0,Binghamton,06/27/2015,0.0,0.5648786544355501,0.2828332114645272,0.2466967373850548,2015,DELAWARE
2015-06-28,0.0008662025012025013,Binghamton,07/04/2015,0.0,0.25153356908452074,0.09106372338820007,0.22189653627227152,2015,TIOGA
2015-06-28,0.0008662025012025013,Binghamton,07/04/2015,0.0,0.25153356908452074,0.09106372338820007,0.22189653627227152,2015,BROOME
2015-06-28,0.0008662025012025013,Binghamton,07/04/2015,0.0,0.25153356908452074,0.09106372338820007,0.22189653627227152,2015,CHENANGO
2015-06-28,0.0008662025012025013,Binghamton,07/04/2015,0.0,0.25153356908452074,0.09106372338820007,0.22189653627227152,2015,DELAWARE
2015-07-05,0.0019489556277056282,Binghamton,07/11/2015,0.0,0.4590011246457114,0.1536030745974492,0.6526368713890339,2015,TIOGA
2015-07-05,0.0019489556277056282,Binghamton,07/11/2015,0.0,0.4590011246457114,0.1536030745974492,0.6526368713890339,2015,BROOME
2015-07-05,0.0019489556277056282,Binghamton,07/11/2015,0.0,0.4590011246457114,0.1536030745974492,0.6526368713890339,2015,CHENANGO
2015-07-05,0.0019489556277056282,Binghamton,07/11/2015,0.0,0.4590011246457114,0.1536030745974492,0.6526368713890339,2015,DELAWARE
2015-07-12,0.0,Binghamton,07/18/2015,0.0,0.1982970608549844,0.09374206819373536,0.0,2015,TIOGA
2015-07-12,0.0,Binghamton,07/18/2015,0.0,0.1982970608549844,0.09374206819373536,0.0,2015,BROOME
2015-07-12,0.0,Binghamton,07/18/2015,0.0,0.1982970608549844,0.09374206819373536,0.0,2015,CHENANGO
2015-07-12,0.0,Binghamton,07/18/2015,0.0,0.1982970608549844,0.09374206819373536,0.0,2015,DELAWARE
2015-07-19,0.0,Binghamton,07/25/2015,0.0,0.4344670738732631,0.08155559932854976,0.0,2015,TIOGA
2015-07-19,0.0,Binghamton,07/25/2015,0.0,0.4344670738732631,0.08155559932854976,0.0,2015,BROOME
2015-07-19,0.0,Binghamton,07/25/2015,0.0,0.4344670738732631,0.08155559932854976,0.0,2015,CHENANGO
2015-07-19,0.0,Binghamton,07/25/2015,0.0,0.4344670738732631,0.08155559932854976,0.0,2015,DELAWARE
2015-07-26,0.0008662025012025013,Binghamton,08/01/2015,0.0,0.20151268886884896,0.1775742606069901,0.1754287910293723,2015,TIOGA
2015-07-26,0.0008662025012025013,Binghamton,08/01/2015,0.0,0.20151268886884896,0.1775742606069901,0.1754287910293723,2015,BROOME
2015-07-26,0.0008662025012025013,Binghamton,08/01/2015,0.0,0.20151268886884896,0.1775742606069901,0.1754287910293723,2015,CHENANGO
2015-07-26,0.0008662025012025013,Binghamton,08/01/2015,0.0,0.20151268886884896,0.1775742606069901,0.1754287910293723,2015,DELAWARE
2015-08-02,0.0,Binghamton,08/08/2015,0.002537142857142857,0.37348923894368224,0.081421682088273,0.17399298991231646,2015,TIOGA
2015-08-02,0.0,Binghamton,08/08/2015,0.002537142857142857,0.37348923894368224,0.081421682088273,0.17399298991231646,2015,BROOME
2015-08-02,0.0,Binghamton,08/08/2015,0.002537142857142857,0.37348923894368224,0.081421682088273,0.17399298991231646,2015,CHENANGO
2015-08-02,0.0,Binghamton,08/08/2015,0.002537142857142857,0.37348923894368224,0.081421682088273,0.17399298991231646,2015,DELAWARE
2015-08-09,0.0008662025012025013,Binghamton,08/15/2015,0.0,0.4085038550946524,0.1730210744375801,0.37004510607758223,2015,TIOGA
2015-08-09,0.0008662025012025013,Binghamton,08/15/2015,0.0,0.4085038550946524,0.1730210744375801,0.37004510607758223,2015,BROOME
2015-08-09,0.0008662025012025013,Binghamton,08/15/2015,0.0,0.4085038550946524,0.1730210744375801,0.37004510607758223,2015,CHENANGO
2015-08-09,0.0008662025012025013,Binghamton,08/15/2015,0.0,0.4085038550946524,0.1730210744375801,0.37004510607758223,2015,DELAWARE
2015-08-16,0.0011549366682700015,Binghamton,08/22/2015,0.0,0.3013162546324988,0.08396610965353153,0.21302067482138068,2015,TIOGA
2015-08-16,0.0011549366682700015,Binghamton,08/22/2015,0.0,0.3013162546324988,0.08396610965353153,0.21302067482138068,2015,BROOME
2015-08-16,0.0011549366682700015,Binghamton,08/22/2015,0.0,0.3013162546324988,0.08396610965353153,0.21302067482138068,2015,CHENANGO
2015-08-16,0.0011549366682700015,Binghamton,08/22/2015,0.0,0.3013162546324988,0.08396610965353153,0.21302067482138068,2015,DELAWARE
2015-08-23,0.0011549366682700015,Binghamton,08/29/2015,0.0,0.13505637658231368,0.08905496478404859,0.18012777650337336,2015,TIOGA
2015-08-23,0.0011549366682700015,Binghamton,08/29/2015,0.0,0.13505637658231368,0.08905496478404859,0.18012777650337336,2015,BROOME
2015-08-23,0.0011549366682700015,Binghamton,08/29/2015,0.0,0.13505637658231368,0.08905496478404859,0.18012777650337336,2015,CHENANGO
2015-08-23,0.0011549366682700015,Binghamton,08/29/2015,0.0,0.13505637658231368,0.08905496478404859,0.18012777650337336,2015,DELAWARE
2015-08-30,0.0025264239618406287,Binghamton,09/05/2015,0.0,0.3358544814480816,0.07927900624384475,0.1444938033255321,2015,TIOGA
2015-08-30,0.0025264239618406287,Binghamton,09/05/2015,0.0,0.3358544814480816,0.07927900624384475,0.1444938033255321,2015,BROOME
2015-08-30,0.0025264239618406287,Binghamton,09/05/2015,0.0,0.3358544814480816,0.07927900624384475,0.1444938033255321,2015,CHENANGO
2015-08-30,0.0025264239618406287,Binghamton,09/05/2015,0.0,0.3358544814480816,0.07927900624384475,0.1444938033255321,2015,DELAWARE
2015-09-06,0.006063417508417509,Binghamton,09/12/2015,0.0,0.4030253777376979,0.12387344725600742,0.15506652064203444,2015,TIOGA
2015-09-06,0.006063417508417509,Binghamton,09/12/2015,0.0,0.4030253777376979,0.12387344725600742,0.15506652064203444,2015,BROOME
2015-09-06,0.006063417508417509,Binghamton,09/12/2015,0.0,0.4030253777376979,0.12387344725600742,0.15506652064203444,2015,CHENANGO
2015-09-06,0.006063417508417509,Binghamton,09/12/2015,0.0,0.4030253777376979,0.12387344725600742,0.15506652064203444,2015,DELAWARE
2015-09-13,0.0,Binghamton,09/19/2015,0.0,0.20151268886884896,0.2427919566217745,0.1867846725915415,2015,TIOGA
2015-09-13,0.0,Binghamton,09/19/2015,0.0,0.20151268886884896,0.2427919566217745,0.1867846725915415,2015,BROOME
2015-09-13,0.0,Binghamton,09/19/2015,0.0,0.20151268886884896,0.2427919566217745,0.1867846725915415,2015,CHENANGO
2015-09-13,0.0,Binghamton,09/19/2015,0.0,0.20151268886884896,0.2427919566217745,0.1867846725915415,2015,DELAWARE
2015-09-20,0.0023820568783068786,Binghamton,09/26/2015,0.0,0.338474622792712,0.14463061949890596,0.3994137652900888,2015,TIOGA
2015-09-20,0.0023820568783068786,Binghamton,09/26/2015,0.0,0.338474622792712,0.14463061949890596,0.3994137652900888,2015,BROOME
2015-09-20,0.0023820568783068786,Binghamton,09/26/2015,0.0,0.338474622792712,0.14463061949890596,0.3994137652900888,2015,CHENANGO
2015-09-20,0.0023820568783068786,Binghamton,09/26/2015,0.0,0.338474622792712,0.14463061949890596,0.3994137652900888,2015,DELAWARE
2015-09-27,0.01819025252525253,Binghamton,10/03/2015,0.005920000000000001,0.1847199647964449,0.4396502998286188,0.6977993428891551,2015,TIOGA
