FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36063,Niagara,NY,1,All Industries,7869966,8092136,8279185,8244140
36063,Niagara,NY,2,  Private goods-producing industries,1414647,1364069,1412605,1370743
36063,Niagara,NY,3,  Private services-providing industries,5268764,5543862,5709321,5760468
36063,Niagara,NY,4,  Government and government enterprises,1186555,1184200,1157760,1113291
36065,Oneida,NY,1,All Industries,9048352,8795248,8890954,8752262
36065,Oneida,NY,2,  Private goods-producing industries,1230548,1224762,1245187,1172524
36065,Oneida,NY,3,  Private services-providing industries,5590038,5321986,5566841,5589800
36065,Oneida,NY,4,  Government and government enterprises,2227766,2247961,2083450,1995759
36067,Onondaga,NY,1,All Industries,24928018,24949739,25891327,26622334
36067,Onondaga,NY,2,  Private goods-producing industries,3754517,3872511,3761466,3784491
36067,Onondaga,NY,3,  Private services-providing industries,17528144,17326448,18552193,19328222
36067,Onondaga,NY,4,  Government and government enterprises,3645357,3750293,3582915,3520518
36069,Ontario,NY,1,All Industries,4550094,4895697,5018048,5444039
36069,Ontario,NY,2,  Private goods-producing industries,1156729,1195247,1213662,1191188
36069,Ontario,NY,3,  Private services-providing industries,2709195,2991960,3074166,3549494
36069,Ontario,NY,4,  Government and government enterprises,684171,708733,730394,706665
36071,Orange,NY,1,All Industries,13046394,13169074,13362722,13609799
36071,Orange,NY,2,  Private goods-producing industries,1368242,1401743,1454817,1481716
36071,Orange,NY,3,  Private services-providing industries,8239655,8407372,8505112,8790782
36071,Orange,NY,4,  Government and government enterprises,3438497,3360478,3403345,3340727
36073,Orleans,NY,1,All Industries,1065230,1071815,1109132,1075665
36073,Orleans,NY,2,  Private goods-producing industries,354338,390423,407744,396720
36073,Orleans,NY,3,  Private services-providing industries,358890,332092,359954,364134
36073,Orleans,NY,4,  Government and government enterprises,352002,349508,342130,316007
36075,Oswego,NY,1,All Industries,5654148,6223705,6065730,6172525
36075,Oswego,NY,2,  Private goods-producing industries,542541,564170,564181,539326
36075,Oswego,NY,3,  Private services-providing industries,4478714,4993887,4829145,4994250
36075,Oswego,NY,4,  Government and government enterprises,632892,665286,672983,636085
36077,Otsego,NY,1,All Industries,1929070,1903285,1900923,1925582
36077,Otsego,NY,2,  Private goods-producing industries,236473,240667,224645,220283
36077,Otsego,NY,3,  Private services-providing industries,1334291,1293438,1316662,1369939
36077,Otsego,NY,4,  Government and government enterprises,358306,369055,359516,335928
36079,Putnam,NY,1,All Industries,2611112,2648211,2685910,2712346
36079,Putnam,NY,2,  Private goods-producing industries,,372339,,364206
36079,Putnam,NY,3,  Private services-providing industries,,1757600,,1850767
36079,Putnam,NY,4,  Government and government enterprises,506739,518231,519189,498502
