STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-12,0.02,0,,76,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-13,0,0,,65,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-14,0,0,,66,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-15,0,0,,65,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-16,0,0,,87,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-17,0,0,,74,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-18,0,0,,65,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-19,0,0,,54,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-20,0.17,0,,66,50
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-21,0.29,0,,53,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-22,0.11,0,,57,49
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-23,0,0,,66,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-24,0,0,,60,48
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-25,0.91,0,,54,49
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-26,0.34,0,,60,53
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-27,0,0,,70,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-28,0,0,,85,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-29,0.06,0,,85,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04-30,0,0,,67,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-01,0,0,,74,49
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-02,0,0,,75,62
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-03,0,0,,65,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-04,0,0,,64,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05-05,3.02,0,,59,51
