Week,flu: (New York),Week Ending Date
2017-03-26,11,04/01/2017
2017-04-02,12,04/08/2017
2017-04-09,11,04/15/2017
2017-04-16,8,04/22/2017
2017-04-23,7,04/29/2017
2017-04-30,7,05/06/2017
2017-05-07,6,05/13/2017
2017-05-14,5,05/20/2017
2017-05-21,5,05/27/2017
2017-05-28,5,06/03/2017
2017-06-04,6,06/10/2017
2017-06-11,5,06/17/2017
2017-06-18,4,06/24/2017
2017-06-25,4,07/01/2017
2017-07-02,5,07/08/2017
2017-07-09,5,07/15/2017
2017-07-16,5,07/22/2017
2017-07-23,4,07/29/2017
2017-07-30,4,08/05/2017
2017-08-06,4,08/12/2017
2017-08-13,4,08/19/2017
2017-08-20,6,08/26/2017
2017-08-27,7,09/02/2017
2017-09-03,9,09/09/2017
2017-09-10,11,09/16/2017
2017-09-17,12,09/23/2017
2017-09-24,14,09/30/2017
2017-10-01,17,10/07/2017
2017-10-08,16,10/14/2017
2017-10-15,17,10/21/2017
2017-10-22,15,10/28/2017
2017-10-29,15,11/04/2017
2017-11-05,15,11/11/2017
2017-11-12,15,11/18/2017
2017-11-19,12,11/25/2017
2017-11-26,14,12/02/2017
2017-12-03,18,12/09/2017
2017-12-10,18,12/16/2017
2017-12-17,19,12/23/2017
2017-12-24,24,12/30/2017
2017-12-31,26,01/06/2018
2018-01-07,41,01/13/2018
2018-01-14,76,01/20/2018
2018-01-21,91,01/27/2018
2018-01-28,100,02/03/2018
2018-02-04,97,02/10/2018
2018-02-11,90,02/17/2018
2018-02-18,53,02/24/2018
2018-02-25,31,03/03/2018
2018-03-04,20,03/10/2018
2018-03-11,16,03/17/2018
2018-03-18,15,03/24/2018
2018-03-25,16,03/31/2018
2018-04-01,14,04/07/2018
2018-04-08,12,04/14/2018
2018-04-15,10,04/21/2018
2018-04-22,10,04/28/2018
2018-04-29,8,05/05/2018
2018-05-06,8,05/12/2018
2018-05-13,6,05/19/2018
2018-05-20,6,05/26/2018
2018-05-27,9,06/02/2018
2018-06-03,7,06/09/2018
2018-06-10,6,06/16/2018
2018-06-17,4,06/23/2018
2018-06-24,5,06/30/2018
2018-07-01,5,07/07/2018
2018-07-08,4,07/14/2018
2018-07-15,4,07/21/2018
2018-07-22,4,07/28/2018
2018-07-29,4,08/04/2018
2018-08-05,5,08/11/2018
2018-08-12,5,08/18/2018
2018-08-19,5,08/25/2018
2018-08-26,5,09/01/2018
2018-09-02,10,09/08/2018
2018-09-09,12,09/15/2018
2018-09-16,16,09/22/2018
2018-09-23,18,09/29/2018
2018-09-30,23,10/06/2018
2018-10-07,23,10/13/2018
2018-10-14,28,10/20/2018
2018-10-21,27,10/27/2018
2018-10-28,22,11/03/2018
2018-11-04,18,11/10/2018
2018-11-11,17,11/17/2018
2018-11-18,13,11/24/2018
2018-11-25,17,12/01/2018
2018-12-02,16,12/08/2018
2018-12-09,15,12/15/2018
2018-12-16,19,12/22/2018
2018-12-23,25,12/29/2018
2018-12-30,27,01/05/2019
2019-01-06,26,01/12/2019
2019-01-13,23,01/19/2019
2019-01-20,23,01/26/2019
2019-01-27,23,02/02/2019
2019-02-03,26,02/09/2019
2019-02-10,27,02/16/2019
2019-02-17,26,02/23/2019
2019-02-24,22,03/02/2019
2019-03-03,19,03/09/2019
2019-03-10,19,03/16/2019
2019-03-17,19,03/23/2019
2019-03-24,17,03/30/2019
2019-03-31,14,04/06/2019
2019-04-07,13,04/13/2019
2019-04-14,10,04/20/2019
2019-04-21,9,04/27/2019
2019-04-28,9,05/04/2019
2019-05-05,6,05/11/2019
2019-05-12,7,05/18/2019
2019-05-19,5,05/25/2019
2019-05-26,5,06/01/2019
2019-06-02,6,06/08/2019
2019-06-09,6,06/15/2019
2019-06-16,6,06/22/2019
2019-06-23,4,06/29/2019
2019-06-30,4,07/06/2019
2019-07-07,4,07/13/2019
2019-07-14,5,07/20/2019
2019-07-21,5,07/27/2019
2019-07-28,4,08/03/2019
2019-08-04,4,08/10/2019
2019-08-11,5,08/17/2019
2019-08-18,6,08/24/2019
2019-08-25,6,08/31/2019
2019-09-01,8,09/07/2019
2019-09-08,10,09/14/2019
2019-09-15,14,09/21/2019
2019-09-22,19,09/28/2019
2019-09-29,20,10/05/2019
2019-10-06,25,10/12/2019
2019-10-13,22,10/19/2019
2019-10-20,21,10/26/2019
2019-10-27,19,11/02/2019
