,County,FIPS,County Centroid,year,CDC Week,Week Ending Date,Count,Disease_INFLUENZA_A,Disease_INFLUENZA_B,Disease_INFLUENZA_UNSPECIFIED,UnempRate,GDP,GDP_change,Population,flu,fluSymptoms,fever,cough,soreThroat,Target,VaxRate,PRCP,SNOW,TAVG,TMAX,TMIN,SNOWDepth
142,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,50,12/14/2013,5,5,0,0,7.5,1054031,3.7,47892,0.0073049744,0.0015392000000000001,0.2243529109,0.17102570760000002,0.30970586079999995,1.0,0.557,0.06714285714285714,1.1333333333333333,20.857142857142858,27.571428571428573,14.142857142857142,1.6
143,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,51,12/21/2013,1,1,0,0,7.5,1054031,3.7,47892,0.007969063,0.007696,0.1506369545,0.2082680921,0.1761072542,2.0,0.557,0.1542857142857143,0.21428571428571427,27.857142857142858,37.857142857142854,17.857142857142858,3.7142857142857144
144,ALLEGANY,36003,"(42.2478938, -78.0261758)",2013,52,12/28/2013,1,1,0,0,7.5,1054031,3.7,47892,0.0180632095,0.0167113143,0.2568611898,0.18223458059999997,0.4634657117,12.0,0.557,0.03428571428571429,0.06666666666666667,28.928571428571427,39.42857142857143,18.428571428571427,0.6666666666666666
145,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,1,01/04/2014,2,2,0,0,6.2,1100681,4.4,47646,0.023907189,0.0178107429,0.2707115481,0.3844763968,0.4131840543,19.0,0.591,0.065,1.2666666666666666,17.125,23.875,10.375,4.0
146,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,2,01/11/2014,12,12,0,0,6.2,1100681,4.4,47646,0.029286306600000003,0.0217686857,0.2958940177,0.2362300118,0.5071888920000001,19.0,0.591,0.13714285714285715,0.02,17.785714285714285,30.428571428571427,5.142857142857143,0.0
147,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,3,01/18/2014,19,19,0,0,6.2,1100681,4.4,47646,0.027891720499999998,0.0219885714,0.1785666025,0.28938176449999997,0.21885880829999999,23.0,0.591,0.065,0.625,29.142857142857142,35.42857142857143,22.857142857142858,0.75
148,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,4,01/25/2014,19,18,1,0,6.2,1100681,4.4,47646,0.0302824394,0.0158867429,0.22618436320000002,0.3008316886,0.20039790989999998,29.0,0.591,0.008,0.1285714285714286,10.785714285714286,20.285714285714285,1.2857142857142858,1.1428571428571428
149,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,5,02/01/2014,23,23,0,0,6.2,1100681,4.4,47646,0.020321110700000002,0.0107194286,0.2335101726,0.2591298599,0.21084289190000002,18.0,0.591,0.04428571428571428,0.13333333333333333,14.357142857142858,27.0,1.7142857142857142,1.8571428571428572
150,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,6,02/08/2014,29,29,0,0,6.2,1100681,4.4,47646,0.0083675162,0.0085755429,0.29669527809999996,0.2303242616,0.37383319200000004,9.0,0.61,0.09333333333333334,1.0,13.928571428571429,23.714285714285715,4.142857142857143,3.7142857142857144
151,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,7,02/15/2014,18,18,0,0,6.2,1100681,4.4,47646,0.0103597819,0.0039579429,0.2912009211,0.111365577,0.380391669,3.0,0.61,0.032857142857142856,0.6428571428571429,10.071428571428571,22.142857142857142,-2.0,7.0
152,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,8,02/22/2014,9,9,0,0,6.2,1100681,4.4,47646,0.009297240200000001,0.0098948571,0.29669527809999996,0.1265517921,0.41415568049999996,8.0,0.61,0.11285714285714286,0.64,23.0,34.42857142857143,11.571428571428571,7.166666666666667
153,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,9,03/01/2014,3,3,0,0,6.2,1100681,4.4,47646,0.0053791175,0.005497142900000001,0.3035632243,0.1927203005,0.2798283542,0.0,0.61,0.024,0.3333333333333333,14.714285714285714,24.714285714285715,4.714285714285714,1.1666666666666667
154,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,10,03/08/2014,8,7,1,0,6.2,1100681,4.4,47646,0.007969063,0.0079158857,0.2618976837,0.1301675575,0.1831515443,4.0,0.623,0.01,0.14285714285714285,12.571428571428571,26.857142857142858,-1.7142857142857142,1.8
155,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,11,03/15/2014,0,0,0,0,6.2,1100681,4.4,47646,0.006574477,0.0035181714,0.3140940753,0.1316138637,0.2767920222,2.0,0.623,0.12428571428571429,0.5714285714285714,28.714285714285715,41.142857142857146,16.285714285714285,1.75
156,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,12,03/22/2014,4,4,0,0,6.2,1100681,4.4,47646,0.009297240200000001,0.0060468571,0.29669527809999996,0.1531879312,0.602165356,1.0,0.623,0.04833333333333334,0.0,28.5,37.0,20.0,0.0
157,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,13,03/29/2014,2,1,1,0,6.2,1100681,4.4,47646,0.007969063,0.0030234285999999997,0.3172991168,0.300229061,0.3710397666,1.0,0.623,0.2525,0.4,25.071428571428573,35.142857142857146,15.0,0.6666666666666666
158,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,14,04/05/2014,1,1,0,0,6.2,1100681,4.4,47646,0.006574477,0.005277257099999999,0.2271000894,0.21513804649999999,0.1836373575,0.0,0.631,0.07714285714285715,0.0,36.5,48.42857142857143,24.571428571428573,0.2857142857142857
159,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,15,04/12/2014,1,1,0,0,6.2,1100681,4.4,47646,0.008035471899999999,0.005277257099999999,0.37819490689999996,0.21260701070000002,0.2817716067,1.0,0.631,0.13571428571428573,0.0,41.285714285714285,57.142857142857146,25.428571428571427,0.0
160,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,16,04/19/2014,0,0,0,0,6.2,1100681,4.4,47646,0.0037188960999999998,0.0029684571000000003,0.200315099,0.1643968042,0.3196650296,0.0,0.631,0.0,0.0,46.07142857142857,61.0,31.142857142857142,0.0
161,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,17,04/26/2014,1,1,0,0,6.2,1100681,4.4,47646,0.0053127087,0.0019789714,0.181313781,0.19742079559999998,0.3089771411,0.0,0.631,0.03142857142857143,0.0,46.0,60.857142857142854,31.142857142857142,0.0
162,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,18,05/03/2014,0,0,0,0,6.2,1100681,4.4,47646,0.0019922658,0.0024737143,0.208327703,0.06411957459999999,0.2896660698,0.0,0.631,0.20142857142857146,0.0,45.642857142857146,54.285714285714285,37.0,0.0
163,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,19,05/10/2014,0,0,0,0,6.2,1100681,4.4,47646,0.0027891721000000004,0.001924,0.2380888034,0.1007593316,0.3876788657,0.0,0.631,0.04428571428571428,0.0,52.214285714285715,67.85714285714286,36.57142857142857,0.0
164,ALLEGANY,36003,"(42.2478938, -78.0261758)",2014,20,05/17/2014,0,0,0,0,6.2,1100681,4.4,47646,0.0016602214999999999,0.0013193143,0.2184006908,0.1087140157,0.4168276526,0.0,0.631,0.45142857142857146,0.0,57.0,71.42857142857143,42.57142857142857,0.0
165,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,40,10/10/2015,0,0,0,0,6,1072033,-2.6,47324,0.0179303918,0.0039579429,0.2252686371,0.389658994,0.3874359592,0.0,0.36200000000000004,0.6371428571428571,0.0,52.5,58.857142857142854,46.142857142857146,0.0
166,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,41,10/17/2015,0,0,0,0,6,1072033,-2.6,47324,0.020188293,0.0026936,0.2916587842,0.47945050359999997,0.2023411624,0.0,0.36200000000000004,0.004285714285714286,0.0,52.92857142857143,63.57142857142857,42.285714285714285,0.0
167,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,42,10/24/2015,0,0,0,0,6,1072033,-2.6,47324,0.020321110700000002,0.005277257099999999,0.1794823287,0.3847174479,0.2605172829,0.0,0.36200000000000004,0.15285714285714286,0.0,47.57142857142857,59.285714285714285,35.857142857142854,0.0
168,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,43,10/31/2015,0,0,0,0,6,1072033,-2.6,47324,0.0139458603,0.0030784000000000002,0.2689945615,0.45739433420000003,0.2320972157,0.0,0.36200000000000004,0.05142857142857143,0.0,46.714285714285715,57.142857142857146,36.285714285714285,0.0
169,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,44,11/07/2015,0,0,0,0,6,1072033,-2.6,47324,0.0111566882,0.0023088,0.1926458924,0.45739433420000003,0.3220940952,0.0,0.36200000000000004,0.19714285714285715,0.0,42.714285714285715,53.0,32.42857142857143,0.0
170,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,45,11/14/2015,0,0,0,0,6,1072033,-2.6,47324,0.0111566882,0.005277257099999999,0.153841996,0.585754009,0.41488440020000006,1.0,0.49,0.021428571428571432,0.0,49.5,65.42857142857143,33.57142857142857,0.0
171,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,46,11/21/2015,0,0,0,0,6,1072033,-2.6,47324,0.0059767972999999995,0.0023088,0.2367152141,0.7231530975,0.2176442755,0.0,0.49,0.2342857142857143,0.0,40.642857142857146,48.42857142857143,32.857142857142854,0.0
172,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,47,11/28/2015,1,0,1,0,6,1072033,-2.6,47324,0.0053791175,0.0026936,0.2287026102,0.5358564452000001,0.40152453950000006,0.0,0.49,0.037142857142857144,0.0,41.714285714285715,53.42857142857143,30.0,0.0
173,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,48,12/05/2015,0,0,0,0,6,1072033,-2.6,47324,0.0073049744,0.0035181714,0.2305340625,0.4411233895,0.3279238526,0.0,0.49,0.011666666666666667,0.0,34.5,43.57142857142857,25.428571428571427,0.0
174,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,49,12/12/2015,0,0,0,0,6,1072033,-2.6,47324,0.0053791175,0.0030784000000000002,0.200315099,0.5048813876,0.6121245248,0.0,0.534,0.14142857142857143,0.0,34.92857142857143,41.42857142857143,28.428571428571427,0.0
175,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,50,12/19/2015,0,0,0,0,6,1072033,-2.6,47324,0.006574477,0.0017590857,0.3708690976,0.3484392675,0.436138724,0.0,0.534,0.0,0.0,39.57142857142857,50.142857142857146,29.0,0.0
176,ALLEGANY,36003,"(42.2478938, -78.0261758)",2015,51,12/26/2015,0,0,0,0,6,1072033,-2.6,47324,0.0083675162,0.0053872,0.2740310554,0.5862361110000001,0.5120470232,0.0,0.534,0.09714285714285717,0.14285714285714285,40.785714285714285,46.57142857142857,35.0,0.14285714285714285
177,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,1,01/09/2016,0,0,0,0,6.3,-,-,47039,0.0073049744,0.0074211429,0.3337821878,0.5568278851,0.6704220986,0.0,0.575,0.11,0.2857142857142857,22.0,32.857142857142854,11.142857142857142,0.7142857142857143
178,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,2,01/16/2016,0,0,0,0,6.3,-,-,47039,0.006574477,0.0043977143,0.2644159307,0.6188985259,0.40553249770000005,0.0,0.575,0.04142857142857143,0.38571428571428573,24.071428571428573,32.0,16.142857142857142,2.3333333333333335
179,ALLEGANY,36003,"(42.2478938, -78.0261758)",2016,3,01/23/2016,0,0,0,0,6.3,-,-,47039,0.0053127087,0.0026936,0.24724606510000002,0.4631795589,0.42848716740000004,0.0,0.575,0.04,0.6,14.5,21.0,8.0,1.4
